"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","higherGeography","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","license","isSequenced","identifier","facts","relations","institutionKey","isInCluster","recordedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","recordNumber","identifier.1","catalogNumber","habitat","institutionCode","municipality","eventRemarks","collectionCode","gbifID","occurrenceID","higherClassification","name","elevation","elevationAccuracy","stateProvince","collectionKey","datasetName","preparations","nomenclaturalCode","verbatimEventDate","institutionID","http...unknown.org.license","type","http...unknown.org.rightsHolder","ownerInstitutionCode","http...unknown.org.CatalogNumberNumeric","verbatimElevation","collectionID","dateIdentified","identifiedBy","locality","fieldNumber","references","county","coordinateUncertaintyInMeters","projectId","individualCount","samplingProtocol","identificationReferences","eventID","dynamicProperties","verbatimLocality","verbatimIdentification","locationRemarks","locationID","identificationRemarks","occurrenceRemarks","otherCatalogNumbers","rightsHolder","language","locationAccordingTo","previousIdentifications","reproductiveCondition","georeferenceSources","taxonID"
"4519435001","Aglaia edulis (Roxb.) Wall.",-8.92085,116.91835,"cdc,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-12-05T22:22:11.903+00:00","2024-12-05T23:26:18.387+00:00",427,"PRESERVED_SPECIMEN","PRESENT",5597757,6,7707728,220,933,2397,3190479,5597757,5597757,"Aglaia edulis (Roxb.) Wall.","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia edulis","Aglaia","edulis","SPECIES","ACCEPTED","NT","ASIA","Mataiyang",2019,10,1,"2019-10-01T00:00",274,274,"2023-01-09T15:39:40.210+00:00","2024-12-05T23:26:18.387+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"K001569641","none","none","fa252605-26f6-426c-9892-94d071c2c77f",FALSE,"Trethowan, L.; Muis; Dola; Jaya; Suhar","WGS84","Magnoliopsida","ID","none","none","ASIA","Indonesia","EUROPE","1102","K001569641","K001569641","Seasonal forest, mafic soils","K","Mataiyang","Height: 9m Diameter: 10cm Local name: meyong","Herbarium","4519435001","http://specimens.kew.org/herbarium/K001569641","Meliaceae","Aglaia edulis (Roxb.) Wall.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4519445006","Aglaia edulis (Roxb.) Wall.",-8.91475,116.919833,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-12-05T22:22:11.903+00:00","2024-12-05T23:26:18.458+00:00",427,"PRESERVED_SPECIMEN","PRESENT",5597757,6,7707728,220,933,2397,3190479,5597757,5597757,"Aglaia edulis (Roxb.) Wall.","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia edulis","Aglaia","edulis","SPECIES","ACCEPTED","NT","ASIA","Mataiyang",2019,10,1,"2019-10-01T00:00",274,274,"2023-01-09T15:40:54.433+00:00","2024-12-05T23:26:18.458+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"K001569642","none","none","fa252605-26f6-426c-9892-94d071c2c77f",FALSE,"Trethowan, L.; Muis; Dola; Jaya; Suhar","WGS84","Magnoliopsida","ID","none","none","ASIA","Indonesia","EUROPE","1111","K001569642","K001569642","Seasonal forest, mafic soils","K","Mataiyang","Height: 8m  Diameter: 4cm Local name: meyong","Herbarium","4519445006","http://specimens.kew.org/herbarium/K001569642","Meliaceae","Aglaia edulis (Roxb.) Wall.",373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4519442281","Aglaia edulis (Roxb.) Wall.",-8.9083,116.934067,"cdc,cdround,gass84,incomis,inmafu","cd6e21c8-9e8a-493a-8a76-fbf7862069e5","061b4f20-f241-11da-a328-b8a03c50a862","17abcf75-2f1e-46dd-bf75-a5b21dd02655","996e30f8-f762-11e1-a439-00145eb45e9a","061b4f20-f241-11da-a328-b8a03c50a862","GB","DWC_ARCHIVE","2024-12-05T22:22:11.903+00:00","2024-12-05T23:26:19.261+00:00",427,"PRESERVED_SPECIMEN","PRESENT",5597757,6,7707728,220,933,2397,3190479,5597757,5597757,"Aglaia edulis (Roxb.) Wall.","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia edulis","Aglaia","edulis","SPECIES","ACCEPTED","NT","ASIA",NA,2019,11,1,"2019-11-01T00:00",305,305,"2023-08-22T15:19:29.957+00:00","2024-12-05T23:26:19.261+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"K001614366","none","none","fa252605-26f6-426c-9892-94d071c2c77f",FALSE,"Trethowan, L.; Muis; Dola; Jaya; Suhar.","WGS84","Magnoliopsida","ID","none","none","ASIA","Indonesia","EUROPE","1129","K001614366","K001614366",NA,"K",NA,NA,"Herbarium","4519442281","http://specimens.kew.org/herbarium/K001614366","Meliaceae","Aglaia edulis (Roxb.) Wall.",1129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575315384","Aglaia edulis (Roxb.) Wall.",8.788056,99.643889,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","8e30b684-6a54-4aba-aa73-66201c2c736e,17abcf75-2f1e-46dd-bf75-a5b21dd02655","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-12-03T13:36:44.975+00:00","2024-12-03T14:12:42.505+00:00",366,"PRESERVED_SPECIMEN","PRESENT",5597757,6,7707728,220,933,2397,3190479,5597757,5597757,"Aglaia edulis (Roxb.) Wall.","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia edulis","Aglaia","edulis","SPECIES","ACCEPTED","NT","ASIA","Indo-China",2005,2,13,"2005-02-13",44,44,"2023-12-06T14:19:30.000+00:00","2024-12-03T14:12:42.505+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"https://data.rbge.org.uk/herb/E00375425","none","none","0237598a-853a-492c-af74-a723fe251799",FALSE,"Williams, Kyle","WGS84","Magnoliopsida","TH","none","none","ASIA","Thailand","EUROPE","1480","https://data.rbge.org.uk/herb/E00375425","E00375425",NA,"RBGE",NA,NA,"E","575315384","https://data.rbge.org.uk/herb/E00375425",NA,"Aglaia edulis (Roxb.) Wall.",80,0,"Nakhon Si Thammarat","427c8cd7-4358-4a00-9ef3-2b2676d28d1e","Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)","HERBARIUM SHEET","ICBN","13th February 2005","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","407706","80m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3866876328","Aglaia samarensis Merr.",-13.76389,-172.28056,"gass84,txmatfuz,inmano","cd096ec0-a8a0-4c65-92cc-48b00fb934ce","3c6ad080-bdbe-11da-ac59-b8a03c50a862","8e30b684-6a54-4aba-aa73-66201c2c736e","db7e3f20-3966-4c50-b747-4dfc7b3d3874","3c6ad080-bdbe-11da-ac59-b8a03c50a862","US","EML","2024-12-01T18:03:44.881+00:00","2024-12-01T18:13:25.279+00:00",265,"PRESERVED_SPECIMEN","PRESENT",5598003,6,7707728,220,933,2397,3190479,5597757,5597757,"Aglaia edulis (Roxb.) Wall.","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia edulis","Aglaia","samarensis","SPECIES","SYNONYM","NE","OCEANIA","Samoa",2003,10,6,"2003-10-06",279,279,NA,"2024-12-01T18:13:25.279+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"0f7622ac-3952-4490-b505-f4b1fc9fe4c3","none","none",NA,FALSE,"W. Stuart Kirkham","WGS84","Magnoliopsida","WS","none","none","OCEANIA","Samoa","NORTH_AMERICA",NA,"0f7622ac-3952-4490-b505-f4b1fc9fe4c3","00560875","Lowland forest on bare, rocky ground.","PRC",NA,NA,"TEX","3866876328","0f7622ac-3952-4490-b505-f4b1fc9fe4c3",NA,"Aglaia samarensis Merr.",NA,NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004-01-01T00:00:00","Whistler, Art","Savai'i. Aganoa Beach Road.","00272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574799351","Aglaia edulis (Roxb.) Wall.",11.8025,108.489722,"cdc","bf2a4bf0-5f31-11de-b67e-b8a03c50a862","98e934b0-5f31-11de-b67e-b8a03c50a862","8e30b684-6a54-4aba-aa73-66201c2c736e,17abcf75-2f1e-46dd-bf75-a5b21dd02655","f6fe707e-cced-4efc-b5dc-be4c91b8180a","98e934b0-5f31-11de-b67e-b8a03c50a862","GB","DWC_ARCHIVE","2024-12-03T13:36:44.975+00:00","2024-12-03T14:12:37.711+00:00",366,"PRESERVED_SPECIMEN","PRESENT",5597757,6,7707728,220,933,2397,3190479,5597757,5597757,"Aglaia edulis (Roxb.) Wall.","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia edulis","Aglaia","edulis","SPECIES","ACCEPTED","NT","ASIA","Indo-China",2001,9,8,"2001-09-08",251,251,"2024-11-25T15:22:51.000+00:00","2024-12-03T14:12:37.711+00:00","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"https://data.rbge.org.uk/herb/E00161877","none","none","0237598a-853a-492c-af74-a723fe251799",FALSE,"South Vietnam First Darwin Expedition,","WGS84","Magnoliopsida","VN","none","none","ASIA","Viet Nam","EUROPE","163","https://data.rbge.org.uk/herb/E00161877","E00161877","Remnant gallery rainforest surrounded by Pinus kesiya plantations;  Aspect: south","RBGE",NA,NA,"E","574799351","https://data.rbge.org.uk/herb/E00161877",NA,"Aglaia edulis (Roxb.) Wall.",1430,0,"Lâm Đồng","427c8cd7-4358-4a00-9ef3-2b2676d28d1e","Edinburgh (E) Herbarium Specimens (selected by filtering by barcode starts with E)","HERBARIUM SHEET","ICBN","8th September 2001","https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799","CC0","PhysicalObject","Royal Botanic Garden Edinburgh","E","139584","1430m","https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e",NA,NA,"Viet Nam:Lam Dong:Don Duong Distr.:Ho Tien, Lake of Angels, first site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4043552450","Aglaia testicularis C.Y.Wu",21.48,101.57,"cdc,cuiv,gass84,colmano,inmafu","4515e736-fa02-44ee-9808-bf89445104fe","a2fa5b68-3ebf-4845-abc5-f456d251386f",NA,"66904d07-4f2e-4535-be04-47cf62cb3a1f","a2fa5b68-3ebf-4845-abc5-f456d251386f","CN","EML","2024-01-19T17:00:31.283+00:00","2024-01-26T08:52:32.569+00:00",1,"PRESERVED_SPECIMEN","PRESENT",5597880,6,7707728,220,933,2397,3190479,5597757,5597757,"Aglaia edulis (Roxb.) Wall.","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia edulis","Aglaia","testicularis","SPECIES","SYNONYM","NE","ASIA",NA,2001,NA,NA,"2001",NA,NA,NA,"2024-01-26T08:52:32.569+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"10401653","none","none","22190a72-02b2-458f-9a33-78baa09876b3",FALSE,"杜凡","WGS84","Magnoliopsida","CN","none","none","ASIA","China","ASIA",NA,"10401653","125086",NA,"SWFC",NA,NA,NA,"4043552450","10401653",NA,"Aglaia testicularis C.Y.Wu",NA,NA,"云南",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.nsii.org.cn/2017/specimen.php?id=10401653","勐腊县",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1830967335","Aglaia edulis (Roxb.) Wall.",7.01667,100.46667,"cdc,colmafu,inmafu","0afba960-be3b-4202-a7de-736ae05aec9e","58520c30-bafb-11d9-8e53-b8a03c50a862",NA,"602f7766-f762-11e1-a439-00145eb45e9a","58520c30-bafb-11d9-8e53-b8a03c50a862","AT","BIOCASE","2024-11-15T06:31:22.242+00:00","2024-11-15T06:34:09.555+00:00",325,"PRESERVED_SPECIMEN","PRESENT",5597757,6,7707728,220,933,2397,3190479,5597757,5597757,"Aglaia edulis (Roxb.) Wall.","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia edulis","Aglaia","edulis","SPECIES","ACCEPTED","NT","ASIA",NA,2000,2,11,"2000-02-11",42,42,NA,"2024-11-15T06:34:09.555+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"https://wu.jacq.org/WU0029112","none","none","0b7d2b05-71f6-4654-8682-afaa0a3bcfd1",FALSE,"Greger,H. & Vajrodaya,S. HG 835|Greger,H. & Vajrodaya,S.","WGS84","Magnoliopsida","TH","none","none","ASIA","Thailand","EUROPE","835","https://wu.jacq.org/WU0029112","0029112",NA,"WU",NA,NA,"Herbarium WU","1830967335","https://wu.jacq.org/WU0029112",NA,"Aglaia edulis (Roxb.) Wall.",NA,NA,NA,"92f12d36-0d03-4a0c-9716-0f04c9dc359e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. M. Pannell (FHO) 2000","S-Thailand, Hat Yai, Ton Phliu Wasserfall.",NA,"https://wu.jacq.org/WU0029112",NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4435345818","Aglaia edulis (Roxb.) Wall.",10.348778,76.895241,"","178260a5-8204-4120-a895-99bf7c41ff97","038a1133-81e2-42e8-a4dd-b5ac246eb082",NA,"f66ca88d-1f6a-49dc-b33b-32960faee57e","fbca90e3-8aed-48b1-84e3-369afbd000ce","IN","EML","2023-11-06T04:58:38.705+00:00","2024-01-24T16:17:42.624+00:00",1,"HUMAN_OBSERVATION","PRESENT",5597757,6,7707728,220,933,2397,3190479,5597757,5597757,"Aglaia edulis (Roxb.) Wall.","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia edulis","Aglaia","edulis","SPECIES","ACCEPTED","NT","ASIA",NA,2000,NA,NA,"2000",NA,NA,NA,"2024-01-24T16:17:42.624+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"urn:ncf:arp:pcq:2000_MAPCQ13:T2","none","none",NA,FALSE,"T R Shankar Raman|Divya Mudappa","WGS84","Magnoliopsida","IN",NA,NA,"ASIA","India","ASIA",NA,"urn:ncf:arp:pcq:2000_MAPCQ13:T2",NA,"Mature tropical rainforest","NCF-India",NA,"Data mostly collected between January and June of corresponding year indicated in eventDate",NA,"4435345818","urn:ncf:arp:pcq:2000_MAPCQ13:T2",NA,"Aglaia edulis (Roxb.) Wall.",NA,NA,"Tamil Nadu",NA,NA,NA,NA,NA,"https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082",NA,NA,NA,NA,NA,NA,NA,NA,"T R Shankar Raman|Divya Mudappa","Anamalai Tiger Reserve","2000_MAPCQ13:T2",NA,NA,200,"ncf-arrp",1,"Point-centred quarter (PCQ) method","GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London. | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India.","urn:ncf:arp:pcq:2000_MAPCQ13","{“girthAtBreastHeightInCentimeters”:146, “radialDistanceInMetres”:5.6“heightInMetres”:NA}","Manamboly","AGIN | Aglaia indica","MNBL","Manamboli","Identified by examination of field-collected specimens and using references listed in identificationReferences.","Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point",NA,NA,NA,NA,NA,NA,NA,NA
"4435345822","Aglaia edulis (Roxb.) Wall.",10.348778,76.895241,"","178260a5-8204-4120-a895-99bf7c41ff97","038a1133-81e2-42e8-a4dd-b5ac246eb082",NA,"f66ca88d-1f6a-49dc-b33b-32960faee57e","fbca90e3-8aed-48b1-84e3-369afbd000ce","IN","EML","2023-11-06T04:58:38.705+00:00","2024-01-24T16:17:42.626+00:00",1,"HUMAN_OBSERVATION","PRESENT",5597757,6,7707728,220,933,2397,3190479,5597757,5597757,"Aglaia edulis (Roxb.) Wall.","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia edulis","Aglaia","edulis","SPECIES","ACCEPTED","NT","ASIA",NA,2000,NA,NA,"2000",NA,NA,NA,"2024-01-24T16:17:42.626+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"urn:ncf:arp:pcq:2000_MAPCQ13:T4","none","none",NA,FALSE,"T R Shankar Raman|Divya Mudappa","WGS84","Magnoliopsida","IN",NA,NA,"ASIA","India","ASIA",NA,"urn:ncf:arp:pcq:2000_MAPCQ13:T4",NA,"Mature tropical rainforest","NCF-India",NA,"Data mostly collected between January and June of corresponding year indicated in eventDate",NA,"4435345822","urn:ncf:arp:pcq:2000_MAPCQ13:T4",NA,"Aglaia edulis (Roxb.) Wall.",NA,NA,"Tamil Nadu",NA,NA,NA,NA,NA,"https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082",NA,NA,NA,NA,NA,NA,NA,NA,"T R Shankar Raman|Divya Mudappa","Anamalai Tiger Reserve","2000_MAPCQ13:T4",NA,NA,200,"ncf-arrp",1,"Point-centred quarter (PCQ) method","GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London. | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India.","urn:ncf:arp:pcq:2000_MAPCQ13","{“girthAtBreastHeightInCentimeters”:236, “radialDistanceInMetres”:3.5“heightInMetres”:NA}","Manamboly","AGIN | Aglaia indica","MNBL","Manamboli","Identified by examination of field-collected specimens and using references listed in identificationReferences.","Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point",NA,NA,NA,NA,NA,NA,NA,NA
"4435347605","Aglaia edulis (Roxb.) Wall.",10.348778,76.895241,"","178260a5-8204-4120-a895-99bf7c41ff97","038a1133-81e2-42e8-a4dd-b5ac246eb082",NA,"f66ca88d-1f6a-49dc-b33b-32960faee57e","fbca90e3-8aed-48b1-84e3-369afbd000ce","IN","EML","2023-11-06T04:58:38.705+00:00","2024-01-24T16:17:43.018+00:00",1,"HUMAN_OBSERVATION","PRESENT",5597757,6,7707728,220,933,2397,3190479,5597757,5597757,"Aglaia edulis (Roxb.) Wall.","Plantae","Tracheophyta","Sapindales","Meliaceae","Aglaia","Aglaia edulis","Aglaia","edulis","SPECIES","ACCEPTED","NT","ASIA",NA,2000,NA,NA,"2000",NA,NA,NA,"2024-01-24T16:17:43.018+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"urn:ncf:arp:pcq:2000_MAPCQ4:T1","none","none",NA,FALSE,"T R Shankar Raman|Divya Mudappa","WGS84","Magnoliopsida","IN",NA,NA,"ASIA","India","ASIA",NA,"urn:ncf:arp:pcq:2000_MAPCQ4:T1",NA,"Mature tropical rainforest","NCF-India",NA,"Data mostly collected between January and June of corresponding year indicated in eventDate",NA,"4435347605","urn:ncf:arp:pcq:2000_MAPCQ4:T1",NA,"Aglaia edulis (Roxb.) Wall.",NA,NA,"Tamil Nadu",NA,NA,NA,NA,NA,"https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082",NA,NA,NA,NA,NA,NA,NA,NA,"T R Shankar Raman|Divya Mudappa","Anamalai Tiger Reserve","2000_MAPCQ4:T1",NA,NA,200,"ncf-arrp",1,"Point-centred quarter (PCQ) method","GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London. | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India.","urn:ncf:arp:pcq:2000_MAPCQ4","{“girthAtBreastHeightInCentimeters”:77, “radialDistanceInMetres”:4.3“heightInMetres”:NA}","Manamboly","AGIN | Aglaia indica","MNBL","Manamboli","Identified by examination of field-collected specimens and using references listed in identificationReferences.","Note: eventID corresponds to PCQ points in a site (locationID) in a particular sampling year (eventDate); occurrenceID to each of 4 trees at a PCQ point",NA,NA,NA,NA,NA,NA,NA,NA
